ID,ESTACION,FECHA,HORA,LONGITUD,LATITUD,ALTITUD,PM10,PM2_5,NO2,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE,ANIO,MES
78698,SAN_BORJA,2023-12-24,060000,-77.0077,-12.1086,128,55.12,17.23,34.3,LIMA,LIMA,SAN_BORJA,150130,20240430,2023,12
312913,VILLA_MARIA_DEL_TRIUNFO,2022-09-15,050000,-76.92,-12.1664,272,68.74,30.29,15.8,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2022,9
23707,SAN_BORJA,2017-09-14,230000,-77.0077,-12.1086,128,71.47,21.7,63.7,LIMA,LIMA,SAN_BORJA,150130,20240430,2017,9
268076,VILLA_MARIA_DEL_TRIUNFO,2017-08-04,000000,-76.92,-12.1664,272,27.78,6.5,4.2,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2017,8
439705,SAN_MARTIN_DE_PORRES,2018-07-05,050000,-77.0845,-12.0089,56,77.75,55.1,41,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2018,7
115511,CAMPO_DE_MARTE,2018-11-06,030000,-77.0432,-12.0705,117,15.25,12.7,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2018,11
80264,SAN_BORJA,2024-02-27,120000,-77.0077,-12.1086,128,59.4,23.52,19.7,LIMA,LIMA,SAN_BORJA,150130,20240430,2024,2
318387,VILLA_MARIA_DEL_TRIUNFO,2023-05-01,070000,-76.92,-12.1664,272,53.08,36.18,5.7,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2023,5
3341,SAN_BORJA,2015-05-20,090000,-77.0077,-12.1086,128,NA,17.7,NA,LIMA,LIMA,SAN_BORJA,150130,20240430,2015,5
257074,VILLA_MARIA_DEL_TRIUNFO,2016-05-02,140000,-76.92,-12.1664,272,341.49,69.3,39.8,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2016,5
263104,VILLA_MARIA_DEL_TRIUNFO,2017-01-08,200000,-76.92,-12.1664,272,78.09,10,4.8,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2017,1
432971,SAN_MARTIN_DE_PORRES,2017-09-27,150000,-77.0845,-12.0089,56,85.15,19.3,16.3,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2017,9
145265,CAMPO_DE_MARTE,2022-03-29,210000,-77.0432,-12.0705,117,21.69,12,15.2,LIMA,LIMA,JESUS_MARIA,150113,20240430,2022,3
128509,CAMPO_DE_MARTE,2020-04-30,170000,-77.0432,-12.0705,117,43.69,24.99,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2020,4
100785,CAMPO_DE_MARTE,2017-03-02,130000,-77.0432,-12.0705,117,48.97,10.1,15,LIMA,LIMA,JESUS_MARIA,150113,20240430,2017,3
358841,SAN_JUAN_DE_LURIGANCHO,2018-08-12,210000,-76.9992,-11.9816,240,44.62,11.7,26.9,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2018,8
170005,SANTA_ANITA,2015-09-25,170000,-76.9714,-12.043,253,109.65,24.6,NA,LIMA,LIMA,SANTA_ANITA,150137,20240430,2015,9
277780,VILLA_MARIA_DEL_TRIUNFO,2018-09-12,080000,-76.92,-12.1664,272,15.37,11.9,NA,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2018,9
